institucion,fuente,municipio,departamento,sector,latitud,longitud,precision_ubicacion,n_estudiantes,promedio_global,institucion_fuente,n_analisis,promedio_analisis
I.E. Luis Fernando Restrepo Restrepo,Semestre Cero,Zaragoza,Antioquia,Oficial,7.4914,-74.8692,aproximada,30,171.0,I. E. LUIS FERNANDO RESTREPO RESTREPO,30,171.0
I.E. Maria Auxiliadora,Semestre Cero,Chigorodó,Antioquia,Oficial,7.6672,-76.6811,aproximada,31,150.6129032,I. E. MARIA AUXILIADORA,31,150.61
I.E. Miguel Vicente Garrido Ortiz,Semestre Cero,Arboletes,Antioquia,Oficial,8.8508,-76.4267,aproximada,40,203.3,I. E. MIGUEL VICENTE GARRIDO ORTIZ,40,203.3
I.E. Murindo,Semestre Cero,Murindó,Antioquia,Oficial,7.0169,-76.7536,aproximada,46,160.0217391,I. E. MURINDO,46,160.02
I.E. Mutata,Semestre Cero,Mutatá,Antioquia,Oficial,7.2433,-76.4361,aproximada,55,174.9636364,I. E. MUTATA,55,174.96
I.E. Nuestra Señora del Rosario,Semestre Cero,Campamento,Antioquia,Oficial,6.9786,-75.2961,aproximada,26,172.8076923,I. E. NUESTRA SEÑORA DEL ROSARIO,26,172.81
I.E. Orlando Velasquez Arango,Semestre Cero,Venecia,Antioquia,Oficial,5.9625,-75.7358,aproximada,19,174.2631579,I. E. ORLANDO VELASQUEZ ARANGO,19,174.26
I.E. Pascual Correa Florez,Semestre Cero,Amagá,Antioquia,Oficial,6.0329,-75.708,aproximada,32,170.46875,I. E. PASCUAL CORREA FLOREZ,32,170.47
I.E. Pedro Nel Ospina,Semestre Cero,Ituango,Antioquia,Oficial,7.1717,-75.7336,aproximada,24,172.8333333,I. E. PEDRO NEL OSPINA,24,172.83
I.E. Piamonte,Semestre Cero,Cáceres,Antioquia,Oficial,7.5758,-75.3486,aproximada,20,152.3,I. E. PIAMONTE,20,152.3
I.E. Presbitero Gerardo Montoya,Semestre Cero,Amalfi,Antioquia,Oficial,6.9778,-74.9812,aproximada,57,194.0701754,I. E. PRESBITERO GERARDO MONTOYA,57,194.07
